 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
252;nationalsiblingsday;1246;282047;1462;957;ORGANIC;"NON-POLITICAL IRRELEVANT	"
253;nationalsiblingsday;1248;281287;1588;955;ORGANIC;"NON-POLITICAL IRRELEVANT	"
254;nationalsiblingsday;1286;280619;1645;929;ORGANIC;"NON-POLITICAL IRRELEVANT	"
255;nationalpetday;1455;280133;2679;928;ORGANIC;"NON-POLITICAL IRRELEVANT	"
256;nationalsiblingsday;1127;279835;1322;920;ORGANIC;"NON-POLITICAL IRRELEVANT	"
257;nationalsiblingsday;1212;279119;1455;957;ORGANIC;"NON-POLITICAL IRRELEVANT	"
258;nationalpetday;1292;278833;1910;910;ORGANIC;"NON-POLITICAL IRRELEVANT	"
259;nationalpetday;1281;278664;1583;921;ORGANIC;"NON-POLITICAL IRRELEVANT	"
260;nationalsiblingsday;1253;278412;1355;961;ORGANIC;"NON-POLITICAL IRRELEVANT	"
261;nationalsiblingsday;1201;277412;1357;941;ORGANIC;"NON-POLITICAL IRRELEVANT	"
262;nationalpetday;1376;277238;1784;921;ORGANIC;"NON-POLITICAL IRRELEVANT	"
263;nationalsiblingsday;1221;277169;1372;962;ORGANIC;"NON-POLITICAL IRRELEVANT	"
264;nationalpetday;1254;276933;1552;909;ORGANIC;"NON-POLITICAL IRRELEVANT	"
265;nationalsiblingsday;1200;276647;1396;947;ORGANIC;"NON-POLITICAL IRRELEVANT	"
266;unitedairlines;1345;276228;2240;898;ORGANIC;"NON-POLITICAL IRRELEVANT	"
267;nationalsiblingsday;1237;275962;1535;948;ORGANIC;"NON-POLITICAL IRRELEVANT	"
268;nationalsiblingsday;1199;275097;1514;934;ORGANIC;"NON-POLITICAL IRRELEVANT	"
269;nationalsiblingsday;1232;274579;1362;953;ORGANIC;"NON-POLITICAL IRRELEVANT	"
270;nationalsiblingsday;1236;274502;1389;964;ORGANIC;"NON-POLITICAL IRRELEVANT	"
271;nationalpetday;1294;274146;1618;922;ORGANIC;"NON-POLITICAL IRRELEVANT	"
272;news;15580;273856;90023;456;ORGANIC;"NON-POLITICAL IRRELEVANT	"
273;nationalsiblingsday;1220;273180;1512;957;ORGANIC;"NON-POLITICAL IRRELEVANT	"
274;unitedairlines;1400;272485;2211;878;ORGANIC;"NON-POLITICAL IRRELEVANT	"
275;nationalpetday;1241;272353;1713;937;ORGANIC;"NON-POLITICAL IRRELEVANT	"
276;nationalsiblingsday;1242;272353;1526;942;ORGANIC;"NON-POLITICAL IRRELEVANT	"
277;news;16158;272008;94825;473;ORGANIC;"NON-POLITICAL IRRELEVANT	"
278;nationalsiblingsday;1250;271749;1421;942;ORGANIC;"NON-POLITICAL IRRELEVANT	"
279;unitedairlines;1173;271058;2068;825;ORGANIC;"NON-POLITICAL IRRELEVANT	"
280;nationalsiblingsday;1094;270043;1267;924;ORGANIC;"NON-POLITICAL IRRELEVANT	"
281;news;16010;269896;93804;462;ORGANIC;"NON-POLITICAL IRRELEVANT	"
282;strongertogether;3282;268603;4258;686;ORGANIZED;"POLITICAL	HILLARY"
283;nationalpetday;1200;267904;1460;891;ORGANIC;"NON-POLITICAL IRRELEVANT	"
284;nationalpetday;1273;267735;1608;918;ORGANIC;"NON-POLITICAL IRRELEVANT	"
285;unitedairlines;1442;267530;2346;888;ORGANIC;"NON-POLITICAL IRRELEVANT	"
286;nationalpetday;1263;267367;1705;916;ORGANIC;"NON-POLITICAL IRRELEVANT	"
287;nationalsiblingsday;1207;267197;1357;957;ORGANIC;"NON-POLITICAL IRRELEVANT	"
288;trumptrain;6572;266989;10703;975;ORGANIZED;"POLITICAL	TRUMP	"
289;news;16367;266984;94839;451;ORGANIC;"NON-POLITICAL IRRELEVANT	"
290;nationalpetday;1606;266743;2746;878;ORGANIC;"NON-POLITICAL IRRELEVANT	"
291;unitedairlines;1384;266731;2000;853;ORGANIC;"NON-POLITICAL IRRELEVANT	"
292;nationalpetday;1644;266689;2858;894;ORGANIC;"NON-POLITICAL IRRELEVANT	"
293;election;8120;266664;1537;901;ORGANIC;"POLITICAL	IRRELEVANT	"
294;unitedairlines;1402;266283;2266;874;ORGANIC;"NON-POLITICAL IRRELEVANT	"
295;unitedairlines;1413;264654;1810;833;ORGANIC;"NON-POLITICAL IRRELEVANT	"
296;nationalpetday;1370;264528;1949;926;ORGANIC;"NON-POLITICAL IRRELEVANT	"
297;tcot;6560;264497;9185;703;ORGANIZED;
298;nationalpetday;1253;264477;1685;915;ORGANIC;"NON-POLITICAL IRRELEVANT	"
299;teamtrump;1946;264288;609;312;ORGANIZED_T;
300;news;15759;263872;90619;450;ORGANIC;"NON-POLITICAL IRRELEVANT	"
301;nationalpetday;1283;263491;1633;898;ORGANIC;"NON-POLITICAL IRRELEVANT	"
302;weiner;1339;262900;1217;522;ORGANIZED;"POLITICAL	TRUMP	"
303;nationalsiblingsday;1134;262292;1303;950;ORGANIC;"NON-POLITICAL IRRELEVANT	"
304;hillarysemail;925;261735;2366;548;ORGANIZED;"POLITICAL	TRUMP	"
305;nationalpetday;1560;259084;2593;891;ORGANIC;"NON-POLITICAL IRRELEVANT	"
306;podestaemails20;3133;258897;3695;815;ORGANIZED;"POLITICAL	TRUMP	"
307;imwithher;2360;257663;5709;537;ORGANIZED;"POLITICAL	HILLARY"
308;unitedairlines;1453;257393;2327;882;ORGANIC;"NON-POLITICAL IRRELEVANT	"
309;unitedairlines;1337;257372;1882;868;ORGANIC;"NON-POLITICAL IRRELEVANT	"
310;unitedairlines;1364;257186;2067;895;ORGANIC;"NON-POLITICAL IRRELEVANT	"
311;nationalsiblingsday;1142;255893;1338;910;ORGANIC;"NON-POLITICAL IRRELEVANT	"
